 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,343,255,255,255,22.374,19.519,79.960,0.927,1.146,0.872,0.941
2,375,255,255,255,23.998,19.896,9.493,0.878,1.206,0.829,0.934
3,331,255,255,255,21.306,19.780,138.097,0.873,1.077,0.928,0.932
4,455,255,255,255,25.050,23.127,60.869,0.924,1.083,0.923,0.948
5,369,255,255,255,23.500,19.993,40.420,0.935,1.175,0.851,0.945
6,490,255,255,255,26.103,23.901,42.008,0.880,1.092,0.916,0.934
7,378,255,255,255,23.938,20.106,105.934,0.900,1.191,0.840,0.931
8,412,255,255,255,24.177,21.697,136.135,0.935,1.114,0.897,0.947
9,315,255,255,255,21.424,18.721,55.616,0.910,1.144,0.874,0.947
10,367,255,255,255,22.603,20.674,33.743,0.921,1.093,0.915,0.943
11,387,255,255,255,24.240,20.328,13.209,0.898,1.192,0.839,0.940
12,415,255,255,255,24.190,21.844,74.955,0.927,1.107,0.903,0.950
13,490,255,255,255,26.139,23.868,43.598,0.901,1.095,0.913,0.940
14,484,255,255,255,28.863,21.351,87.757,0.848,1.352,0.740,0.936
15,398,255,255,255,23.752,21.335,94.305,0.917,1.113,0.898,0.943
16,487,255,255,255,26.139,23.722,156.415,0.890,1.102,0.908,0.943
17,333,255,255,255,23.038,18.404,5.769,0.900,1.252,0.799,0.934
18,429,255,255,255,25.633,21.310,157.739,0.923,1.203,0.831,0.947
19,465,255,255,255,25.370,23.337,121.167,0.872,1.087,0.920,0.943
20,437,255,255,255,26.589,20.926,85.858,0.827,1.271,0.787,0.925
21,475,255,255,255,27.147,22.278,73.932,0.881,1.219,0.821,0.940
22,497,255,255,255,27.690,22.853,102.723,0.901,1.212,0.825,0.947
23,366,255,255,255,23.350,19.958,92.967,0.805,1.170,0.855,0.904
24,378,255,255,255,23.574,20.416,11.617,0.900,1.155,0.866,0.931
25,309,255,255,255,21.441,18.350,111.481,0.886,1.168,0.856,0.922
26,433,255,255,255,26.531,20.780,9.659,0.909,1.277,0.783,0.956
27,416,255,255,255,24.603,21.528,120.450,0.909,1.143,0.875,0.941
28,398,255,255,255,23.096,21.941,83.457,0.917,1.053,0.950,0.942
29,411,255,255,255,24.178,21.643,177.455,0.912,1.117,0.895,0.942
30,387,255,255,255,26.575,18.542,50.432,0.886,1.433,0.698,0.938
31,346,255,255,255,22.749,19.365,171.815,0.883,1.175,0.851,0.931
32,426,255,255,255,23.624,22.959,162.011,0.917,1.029,0.972,0.950
33,382,255,255,255,22.951,21.192,170.847,0.895,1.083,0.923,0.933
34,451,255,255,255,26.722,21.489,54.856,0.797,1.243,0.804,0.923
35,358,255,255,255,22.860,19.940,80.628,0.884,1.146,0.872,0.934
36,450,255,255,255,25.492,22.476,112.873,0.919,1.134,0.882,0.947
37,435,255,255,255,26.223,21.121,75.451,0.916,1.242,0.805,0.945
38,328,255,255,255,23.207,17.995,86.073,0.843,1.290,0.775,0.924
39,428,255,255,255,26.767,20.359,155.426,0.888,1.315,0.761,0.940
40,355,255,255,255,22.474,20.112,132.211,0.885,1.117,0.895,0.923
41,400,255,255,255,24.028,21.196,178.545,0.910,1.134,0.882,0.937
42,407,255,255,255,23.841,21.736,123.903,0.911,1.097,0.912,0.940
43,273,255,255,255,21.164,16.423,169.212,0.846,1.289,0.776,0.916
44,292,255,255,255,22.726,16.359,88.736,0.829,1.389,0.720,0.918
45,467,255,255,255,25.630,23.199,163.169,0.926,1.105,0.905,0.956
46,320,255,255,255,24.316,16.756,53.928,0.824,1.451,0.689,0.903
47,405,255,255,255,23.707,21.751,67.851,0.925,1.090,0.917,0.950
48,433,255,255,255,25.067,21.994,179.867,0.912,1.140,0.877,0.939
49,253,255,255,255,19.979,16.123,101.481,0.889,1.239,0.807,0.960
50,419,255,255,255,25.622,20.822,152.397,0.930,1.231,0.813,0.950
51,242,255,255,255,19.369,15.908,75.187,0.892,1.218,0.821,0.972
52,309,255,255,255,24.468,16.080,115.003,0.829,1.522,0.657,0.917
53,417,255,255,255,24.076,22.052,119.534,0.919,1.092,0.916,0.941
54,419,255,255,255,25.300,21.086,179.459,0.910,1.200,0.833,0.941
55,364,255,255,255,22.721,20.398,58.444,0.944,1.114,0.898,0.950
56,291,255,255,255,22.507,16.462,110.785,0.841,1.367,0.731,0.930
57,143,255,255,255,15.491,11.753,21.610,0.711,1.318,0.759,0.883
58,377,255,255,255,23.352,20.555,68.194,0.897,1.136,0.880,0.930
59,416,255,255,255,24.206,21.882,41.697,0.876,1.106,0.904,0.934
60,397,255,255,255,23.493,21.516,5.442,0.887,1.092,0.916,0.930
61,276,255,255,255,20.384,17.239,11.746,0.848,1.182,0.846,0.914
62,279,255,255,255,20.406,17.409,63.422,0.775,1.172,0.853,0.897
63,378,255,255,255,22.985,20.939,98.571,0.971,1.098,0.911,0.967
64,306,255,255,255,21.017,18.538,77.694,0.933,1.134,0.882,0.940
65,334,255,255,255,22.233,19.128,143.390,0.896,1.162,0.860,0.926
66,417,255,255,255,25.725,20.639,30.981,0.878,1.246,0.802,0.937
67,445,255,255,255,25.950,21.834,72.880,0.923,1.189,0.841,0.952
68,436,255,255,255,25.797,21.520,42.975,0.878,1.199,0.834,0.945
69,476,255,255,255,25.840,23.454,50.313,0.933,1.102,0.908,0.952
70,429,255,255,255,24.472,22.320,9.397,0.909,1.096,0.912,0.948
71,369,255,255,255,24.184,19.427,136.382,0.892,1.245,0.803,0.931
72,437,255,255,255,25.362,21.938,141.841,0.920,1.156,0.865,0.943
73,395,255,255,255,24.186,20.794,30.716,0.885,1.163,0.860,0.934
74,368,255,255,255,23.418,20.009,4.021,0.879,1.170,0.854,0.939
75,384,255,255,255,24.128,20.264,29.717,0.941,1.191,0.840,0.954
76,401,255,255,255,25.347,20.143,25.615,0.774,1.258,0.795,0.897
77,378,255,255,255,23.644,20.355,165.122,0.863,1.162,0.861,0.930
78,377,255,255,255,25.207,19.043,137.448,0.918,1.324,0.755,0.948
79,360,255,255,255,22.050,20.788,80.016,0.882,1.061,0.943,0.927
80,446,255,255,255,26.202,21.673,23.992,0.863,1.209,0.827,0.922
81,433,255,255,255,24.503,22.499,22.723,0.946,1.089,0.918,0.955
82,360,255,255,255,23.691,19.347,145.769,0.918,1.225,0.817,0.947
83,374,255,255,255,26.740,17.808,88.576,0.841,1.502,0.666,0.920
84,251,255,255,255,22.021,14.513,78.598,0.807,1.517,0.659,0.908
85,356,255,255,255,22.802,19.878,14.267,0.879,1.147,0.872,0.947
86,389,255,255,255,27.821,17.803,68.893,0.783,1.563,0.640,0.908
87,464,255,255,255,26.528,22.270,140.247,0.868,1.191,0.840,0.929
88,346,255,255,255,22.265,19.787,6.372,0.883,1.125,0.889,0.938
89,417,255,255,255,24.331,21.821,1.547,0.900,1.115,0.897,0.934
90,452,255,255,255,31.417,18.318,116.344,0.736,1.715,0.583,0.893
91,280,255,255,255,20.770,17.164,61.172,0.900,1.210,0.826,0.935
92,493,255,255,255,29.333,21.400,35.249,0.854,1.371,0.730,0.934
93,446,255,255,255,25.475,22.291,19.312,0.945,1.143,0.875,0.958
94,403,255,255,255,24.954,20.562,72.405,0.900,1.214,0.824,0.943
95,333,255,255,255,23.601,17.965,83.404,0.844,1.314,0.761,0.921
96,396,255,255,255,23.021,21.902,18.728,0.933,1.051,0.951,0.945
97,324,255,255,255,25.179,16.384,25.347,0.849,1.537,0.651,0.928
98,374,255,255,255,22.479,21.184,70.829,0.917,1.061,0.942,0.944
99,474,255,255,255,26.353,22.901,61.643,0.954,1.151,0.869,0.962
100,332,255,255,255,21.954,19.254,154.801,0.806,1.140,0.877,0.922
101,270,255,255,255,25.696,13.379,170.676,0.657,1.921,0.521,0.832
102,361,255,255,255,23.120,19.881,26.805,0.840,1.163,0.860,0.912
103,397,255,255,255,23.335,21.662,65.189,0.921,1.077,0.928,0.949
104,422,255,255,255,26.036,20.637,1.907,0.868,1.262,0.793,0.943
105,402,255,255,255,26.328,19.441,36.193,0.926,1.354,0.738,0.953
106,496,255,255,255,27.590,22.890,29.749,0.877,1.205,0.830,0.939
107,474,255,255,255,28.249,21.364,24.471,0.910,1.322,0.756,0.950
108,364,255,255,255,22.473,20.623,160.178,0.872,1.090,0.918,0.929
109,389,255,255,255,25.415,19.488,143.036,0.891,1.304,0.767,0.941
110,495,255,255,255,29.337,21.483,62.166,0.846,1.366,0.732,0.927
111,335,255,255,255,22.674,18.811,36.221,0.861,1.205,0.830,0.933
112,409,255,255,255,24.352,21.384,14.781,0.908,1.139,0.878,0.947
113,353,255,255,255,21.999,20.431,156.043,0.916,1.077,0.929,0.943
114,418,255,255,255,25.598,20.791,149.190,0.841,1.231,0.812,0.930
115,417,255,255,255,25.602,20.738,127.344,0.911,1.235,0.810,0.943
116,395,255,255,255,25.178,19.975,161.941,0.910,1.260,0.793,0.938
117,413,255,255,255,24.698,21.291,35.320,0.937,1.160,0.862,0.951
118,369,255,255,255,26.363,17.822,0.095,0.837,1.479,0.676,0.937
119,309,255,255,255,21.312,18.460,61.649,0.909,1.154,0.866,0.936
120,354,255,255,255,25.141,17.928,108.774,0.888,1.402,0.713,0.947
121,368,255,255,255,22.635,20.701,81.690,0.939,1.093,0.915,0.946
122,430,255,255,255,25.822,21.203,89.597,0.905,1.218,0.821,0.941
123,310,255,255,255,21.737,18.158,5.631,0.874,1.197,0.835,0.925
